Speed,RPM,Throttle,Brake,SteeringWheelAngle,Lap,FuelLevel,Time
70.8421909,7958.63586,100.000000,0.000000,0.00629915,17,60.2176222,1.06666666624
70.8635413,7964.52412,100.000000,0.000000,0.00813742,17,60.2171460,1.0833333329
70.8789717,7999.95307,100.000000,0.000000,0.00997570,17,60.2166656,1.09999999956
70.8896661,8059.01457,100.000000,0.000000,0.01181398,17,60.2161818,1.11666666622
70.9082692,8080.56388,100.000000,0.000000,0.01365177,17,60.2156979,1.13333333288
70.9305148,8083.22163,100.000000,0.000000,0.01530116,17,60.2152149,1.1499999995399999
70.9620489,8036.17050,100.000000,0.000000,0.01629137,17,60.2147349,1.1666666662
70.9912405,8005.89504,100.000000,0.000000,0.01673147,17,60.2142549,1.18333333286
71.0185583,7989.04013,100.000000,0.000000,0.01673147,17,60.2137749,1.19999999952
71.0402645,8013.74050,100.000000,0.000000,0.01673147,17,60.2132949,1.2166666661799999
71.0618556,8037.09858,100.000000,0.000000,0.01651142,17,60.2128141,1.23333333284
71.0854985,8037.57820,100.000000,0.000000,0.01552121,17,60.2123302,1.2499999995
71.1104725,8026.34816,100.000000,0.000000,0.01406015,17,60.2118507,1.26666666616
71.1365116,8005.75040,100.000000,0.000000,0.01222242,17,60.2113745,1.2833333328199998
71.1569835,8022.54844,100.000000,0.000000,0.01126392,17,60.2108915,1.29999999948
71.1766178,8042.72252,100.000000,0.000000,0.01060389,17,60.2104085,1.31666666614
71.1957564,8058.35209,100.000000,0.000000,0.01060389,17,60.2099285,1.3333333327999999
71.2201408,8053.83275,100.000000,0.000000,0.01060389,17,60.2094464,1.34999999946
71.2487219,8033.19428,100.000000,0.000000,0.01060389,17,60.2089626,1.36666666612
71.2773406,8019.70641,100.000000,0.000000,0.01060389,17,60.2084821,1.38333333278
71.3044348,8014.28531,100.000000,0.000000,0.01079247,17,60.2080021,1.3999999994399999
71.3261769,8033.96954,100.000000,0.000000,0.01164107,17,60.2075221,1.4166666661
71.3453525,8060.25877,100.000000,0.000000,0.01201823,17,60.2070379,1.43333333276
71.3624751,8091.83202,100.000000,0.000000,0.01201823,17,60.2065502,1.44999999942
71.3770650,8107.29843,100.000000,0.000000,0.01201823,17,60.2060659,1.4666666660799998
71.3920525,8121.23226,100.000000,0.000000,0.01223816,17,60.2055812,1.48333333274
71.4095398,8136.84877,100.000000,0.000000,0.01322783,17,60.2050935,1.4999999994
71.4310123,8140.10795,100.000000,0.000000,0.01311786,17,60.2046080,1.51666666606
71.4556727,8133.48126,100.000000,0.000000,0.01212819,17,60.2041242,1.5333333327199998
71.4915153,8083.65577,100.000000,0.000000,0.01201823,17,60.2036403,1.54999999938
71.5273707,8033.76068,100.000000,0.000000,0.01182965,17,60.2031582,1.56666666604
71.5583787,8002.52151,100.000000,0.000000,0.01098105,17,60.2026820,1.5833333326999999
